iter	Logloss
149	0.1161064689
150	0.1159007338
151	0.1156705601
152	0.1152584565
153	0.1150934838
154	0.1147743098
155	0.1144208222
156	0.114220643
157	0.1139689505
158	0.1136975548
159	0.1134747363
160	0.1130956502
161	0.1128103098
162	0.1124395888
163	0.1121282215
164	0.1117890632
165	0.1116195473
166	0.1112332477
167	0.110887757
168	0.1106211967
169	0.1102842711
170	0.1099997063
171	0.109736927
172	0.1093832275
173	0.1091658011
174	0.1088715113
175	0.1086697556
176	0.1084118085
177	0.1081149704
178	0.1077904054
179	0.1075820967
180	0.1074533126
181	0.1072031293
182	0.1069276086
183	0.1067636942
184	0.1065295616
185	0.1063294265
186	0.1061442558
187	0.1060134726
188	0.1057645565
189	0.1054917487
190	0.1052092871
191	0.1049271516
192	0.1047541359
193	0.1045243369
194	0.1042790015
195	0.1041431684
196	0.1039728736
197	0.1037805156
198	0.1036147168
199	0.103297897
200	0.1031244611
201	0.1028838338
202	0.1026823668
203	0.1025050424
204	0.1023128766
205	0.1021077471
206	0.1020912775
207	0.1019724723
208	0.1019688649
209	0.1017838136
210	0.101743142
211	0.1015487596
212	0.1013087304
213	0.1009838701
214	0.1007751582
215	0.1005555592
216	0.1003816295
217	0.1000886876
218	0.09984585279
219	0.09961620755
220	0.0994751582
221	0.09931127532
222	0.09907509645
223	0.09880619231
224	0.09864859877
225	0.09850150964
226	0.09826007695
227	0.09805872497
228	0.09777660398
229	0.09764613812
230	0.0974975711
231	0.09733057804
232	0.09715401032
233	0.09702039083
234	0.09681299918
235	0.096613091
236	0.09638383361
237	0.09624061218
238	0.09599385388
239	0.09583752814
240	0.09569224244
241	0.09546878093
242	0.09525985219
243	0.09511210639
244	0.09498099699
245	0.09486899184
246	0.09471314832
247	0.09458413851
248	0.09439444584
249	0.09424060372
250	0.09401967137
251	0.09390704986
252	0.09370993047
253	0.09359282694
254	0.09349530227
255	0.09330711819
256	0.09317725775
257	0.09300919099
258	0.09288348894
259	0.09268281936
260	0.09245529638
261	0.09224572067
262	0.09202626946
263	0.09180967078
264	0.09167461734
265	0.09150931083
266	0.09126442627
267	0.09101088161
268	0.09089530223
269	0.09075834325
270	0.09060055529
271	0.0904849971
272	0.09033801207
273	0.09020666306
274	0.09008537342
275	0.08995898257
276	0.08983621057
277	0.08969780965
278	0.08962159213
279	0.08946888579
280	0.08930510477
281	0.08911992274
282	0.08902038591
283	0.08893290743
284	0.08884098224
285	0.08873651582
286	0.08856381567
287	0.08847234946
288	0.08837101823
289	0.0882392929
290	0.08809342912
291	0.08789550651
292	0.0877162623
293	0.0875935007
294	0.08747047108
295	0.08732223802
296	0.08718363666
297	0.08701184485
298	0.08684319304
299	0.08670435103
300	0.08659435365
301	0.08639828473
302	0.08620115477
303	0.08610584895
304	0.08601308538
305	0.08586834641
306	0.08576359263
307	0.08563150107
308	0.08547942521
309	0.0853325291
310	0.08522986254
311	0.08516826365
312	0.08512713166
313	0.08499719346
314	0.084913728
315	0.08478468361
316	0.08464859046
317	0.08455635602
318	0.08448622043
319	0.08438559484
320	0.08426593443
321	0.08408888598
322	0.08400660672
323	0.08380831403
324	0.08360148703
325	0.08350024814
326	0.08330659877
327	0.0832184479
328	0.08314879031
329	0.08295007698
330	0.08285066504
331	0.08278333702
332	0.08269175018
333	0.08255253421
334	0.08246787914
335	0.08235687578
336	0.08218295732
337	0.08202478086
338	0.08186038719
339	0.08161169434
340	0.08146516267
341	0.0813337238
342	0.08122597624
343	0.08111751422
344	0.08098896907
345	0.08084169548
346	0.0806917282
347	0.08059317676
348	0.08052213339
349	0.08042636141
350	0.08033782618
351	0.08024390042
352	0.08013422735
353	0.08004026327
354	0.07995789243
355	0.0798277715
356	0.07970328804
357	0.07962092217
358	0.07945485422
359	0.07933808391
360	0.07921426728
361	0.07895904409
362	0.07890794771
363	0.07880400765
364	0.07870982189
365	0.07856006504
366	0.07844049332
367	0.0782795231
368	0.07819889289
369	0.07809194656
370	0.07802570402
371	0.07794435604
372	0.07787034916
373	0.07767041533
374	0.07757038957
375	0.07748847564
376	0.0774146267
377	0.07732812763
378	0.07725322687
379	0.07712585658
380	0.07701897146
381	0.07689475977
382	0.07679903033
383	0.07658619411
384	0.07641595626
385	0.07623544186
386	0.07606119179
387	0.07595991461
388	0.07581271864
389	0.07567250232
390	0.07551025129
391	0.07537237541
392	0.07526878354
393	0.07514697559
394	0.07505189008
395	0.07496347856
396	0.07487259028
397	0.07476761523
398	0.07470436284
399	0.07451159798
400	0.07437652847
401	0.07425614408
402	0.07414072688
403	0.07408468727
404	0.07401753537
405	0.07386969635
406	0.07377208746
407	0.07365810586
408	0.07355012386
409	0.07348704631
410	0.07338664991
411	0.07327664148
412	0.07321221051
413	0.07310698238
414	0.07303323562
415	0.07297541911
416	0.07289234375
417	0.07284384354
418	0.0727798877
419	0.07270869757
420	0.07261976414
421	0.07253214716
422	0.07238245038
423	0.07229067527
424	0.07216342725
425	0.07205729035
426	0.07197388559
427	0.07183326565
428	0.0717277045
429	0.07164692328
430	0.07157790245
431	0.0714780587
432	0.07143037232
433	0.07129672356
434	0.07124109336
435	0.0711066053
436	0.07103171691
437	0.07095646375
438	0.07086148132
439	0.07077907619
440	0.07066756384
441	0.07056184183
442	0.07051010449
443	0.07045011996
444	0.07036884319
445	0.07029631365
446	0.07018547473
447	0.07010936645
448	0.07004169624
449	0.06994890456
450	0.06988828451
451	0.06979983312
452	0.06970596935
453	0.06961241609
454	0.06952705793
455	0.06944258935
456	0.06940211537
457	0.06931528429
458	0.06921992778
459	0.06916440329
460	0.0690788561
461	0.06897571137
462	0.0688367112
463	0.0687498043
464	0.06866990585
465	0.06859987055
466	0.06852431275
467	0.06846153907
468	0.06838336078
469	0.06829483272
470	0.0682052755
471	0.0681683679
472	0.06809815632
473	0.06797634923
474	0.06785870548
475	0.06775929461
476	0.06770034717
477	0.06761313456
478	0.06749544329
479	0.0673148768
480	0.06722618522
481	0.06713247266
482	0.067066651
483	0.06698243244
484	0.06689289526
485	0.06682706324
486	0.06677007764
487	0.06671998541
488	0.06661204456
489	0.06653460335
490	0.06648456264
491	0.0664321336
492	0.06636095942
493	0.06631613937
494	0.06621456988
495	0.06614167539
496	0.06598296796
497	0.06592678506
498	0.06585509061
499	0.06581385418
500	0.06573558878
501	0.06564919629
502	0.06560249245
503	0.06552451503
504	0.06545599667
505	0.06533456836
506	0.06530105655
507	0.06522094804
508	0.06513449781
509	0.06508832519
510	0.06501543034
511	0.06498825094
512	0.0648897527
513	0.06481684348
514	0.06475112194
515	0.06464512659
516	0.0645709992
517	0.06442673843
518	0.06437029388
519	0.06431097808
520	0.06421756759
521	0.06408087022
522	0.06401696847
523	0.06395257959
524	0.06390818456
525	0.06385597613
526	0.06382588148
527	0.06374830635
528	0.06368027079
529	0.06360039034
530	0.06349969061
531	0.06341417089
532	0.06335365558
533	0.06330137902
534	0.06326230797
535	0.0631880596
536	0.06313325655
537	0.06309615878
538	0.06302460385
539	0.06294609759
540	0.0628776576
541	0.06284517411
542	0.06276953852
543	0.0626951053
544	0.06260855927
545	0.06255681495
546	0.06250500761
547	0.06243667419
548	0.06234186084
549	0.06228649789
550	0.06218198674
551	0.06212456883
552	0.06209392155
553	0.06202253234
554	0.06192853475
555	0.0618648784
556	0.06179669076
557	0.0617292626
558	0.06164075836
559	0.0615921962
560	0.06146979366
561	0.06142125811
562	0.06138160923
563	0.06131260812
564	0.06121584282
565	0.06116356007
566	0.06104230007
567	0.06098031669
568	0.06091705258
569	0.06084856173
570	0.0608147778
571	0.0607608447
572	0.06070072737
573	0.06062820792
574	0.06059104807
575	0.06055114843
576	0.06048089295
577	0.06043261989
578	0.06040358434
579	0.06026932084
580	0.06022338738
581	0.06019590989
582	0.06015077539
583	0.06009945216
584	0.06004797737
585	0.05999108313
586	0.05990548348
587	0.05987068411
588	0.05981147799
589	0.05976806373
590	0.05974422082
591	0.05970062685
592	0.05965943494
593	0.05955859804
594	0.05948637355
595	0.0593907548
596	0.05932223101
597	0.05927337943
598	0.05924350579
599	0.05919892977
600	0.05912578411
601	0.05905010958
602	0.05900021322
603	0.05893240611
604	0.05886798106
605	0.05882590339
606	0.05877346144
607	0.05874025942
608	0.05870955279
609	0.05865614437
610	0.05857800596
611	0.05854184612
612	0.0584528678
613	0.05840635022
614	0.05835951954
615	0.05830943789
616	0.05828100015
617	0.05822045411
618	0.05812080284
619	0.05806181293
620	0.05799866577
621	0.05792119078
622	0.05784553786
623	0.05778721623
624	0.05775594952
625	0.05768977155
626	0.05765369325
627	0.0575902139
628	0.05754040321
629	0.05750188931
630	0.05746413747
631	0.05739031447
632	0.05734515051
633	0.05727152705
634	0.05720341095
635	0.05716023838
636	0.05706935606
637	0.05701177103
638	0.05694195458
639	0.0568948167
640	0.05687305104
641	0.05684637095
642	0.05682266394
643	0.05678711385
644	0.05673249675
645	0.0566974609
646	0.05665508877
647	0.05657769573
648	0.05654847571
649	0.05651340597
650	0.05648148378
651	0.05642901497
652	0.05636110595
653	0.05632780633
654	0.05628586282
655	0.05624307782
656	0.05619882496
657	0.05614672359
658	0.05612728381
659	0.05609747275
660	0.05605096969
661	0.05599764257
662	0.05595557791
663	0.05590367475
664	0.05585090742
665	0.05581771165
666	0.05576832399
667	0.05569502405
668	0.05565049761
669	0.05560804465
670	0.05557267839
671	0.05546597436
672	0.05542736153
673	0.05539327389
674	0.05535987735
675	0.05528322218
676	0.05523281848
677	0.05518457896
678	0.05515996498
679	0.05513664181
680	0.05509837715
681	0.05505025758
682	0.05501925326
683	0.05494642694
684	0.05491961741
685	0.0548781848
686	0.0548600945
687	0.05481557722
688	0.05474833707
689	0.05470687344
690	0.05462694112
691	0.05459258872
692	0.05456620713
693	0.05449882004
694	0.05441500727
695	0.05439766917
696	0.05434083059
697	0.05430189944
698	0.05427671933
699	0.05423423377
700	0.05419537551
701	0.05414205377
702	0.05410148409
703	0.05403735078
704	0.05402478202
705	0.05400342598
706	0.05398738551
707	0.05394009936
708	0.05390040308
709	0.05388206342
710	0.0538444581
711	0.05375461695
712	0.05372932156
713	0.05366736657
714	0.0536223238
715	0.05359858648
716	0.0535379543
717	0.05343519356
718	0.05338838596
719	0.05334119294
720	0.05331627303
721	0.05329250244
722	0.05325949124
723	0.05324411173
724	0.0531979366
725	0.05309538289
726	0.05305906642
727	0.05300115043
728	0.05293962538
729	0.05290098641
730	0.05285844773
731	0.05281568521
732	0.05277948035
733	0.05274343494
734	0.05271978578
735	0.05268334268
736	0.05266115951
737	0.05264189572
738	0.05260877423
739	0.05259104003
740	0.0525548795
741	0.05252087352
742	0.05248051438
743	0.05244761881
744	0.05238380228
745	0.05232746993
746	0.05226602694
747	0.05223287616
748	0.05218975595
749	0.05213216755
750	0.05210283554
751	0.05206023136
752	0.05196820349
753	0.05194002923
754	0.05191978183
755	0.05189323954
756	0.05179985882
757	0.05175062508
758	0.05166583137
759	0.05163582944
760	0.05160982928
761	0.05158055709
762	0.05152831158
763	0.05151818284
764	0.05151381296
765	0.05149193921
766	0.05147266232
767	0.05143074105
768	0.05139293459
769	0.05135959132
770	0.05132824332
771	0.05128137353
772	0.05123101091
773	0.05122681095
774	0.05119652687
775	0.05115723881
776	0.05114796236
777	0.05106125227
778	0.05102416118
779	0.05098040266
780	0.05092625676
781	0.05087026469
782	0.05083601108
783	0.05079129082
784	0.05076418626
785	0.05071677148
786	0.05066597644
787	0.05063082079
788	0.05059872154
789	0.0505614986
790	0.05052552162
791	0.05041851756
792	0.05037549676
793	0.05033579539
794	0.05031760914
795	0.05028612861
796	0.05026275474
797	0.05024926359
798	0.05020047356
799	0.05015087932
800	0.05013202216
801	0.05010465521
802	0.05008581936
803	0.05006330211
804	0.05001060922
805	0.04998453913
806	0.04991339913
807	0.04988536186
808	0.04984887067
809	0.04982509551
810	0.04979926448
811	0.0497680292
812	0.04971366573
813	0.04968381423
814	0.04964268527
815	0.04961274073
816	0.04952920986
817	0.04950102884
818	0.04946234932
819	0.0494069386
820	0.04938542834
821	0.04935421096
822	0.0493354597
823	0.04930993834
824	0.04929356047
825	0.04926109923
826	0.0492239866
827	0.04920749193
828	0.04916995733
829	0.04911354266
830	0.04906074162
831	0.04902517077
832	0.04899138848
833	0.04897271739
834	0.0489410325
835	0.04888754472
836	0.04885205346
837	0.04883221673
838	0.04879694016
839	0.04878509532
840	0.04876668813
841	0.04870698762
842	0.04865708211
843	0.04862079806
844	0.04855713745
845	0.04853541985
846	0.04851143506
847	0.04845510632
848	0.04842514438
849	0.04838032226
850	0.04835529347
851	0.04833039756
852	0.04831619671
853	0.04830484182
854	0.0482765611
855	0.04826085194
856	0.04822883669
857	0.0481927147
858	0.04815689276
859	0.04814187033
860	0.04811386337
861	0.04808389509
862	0.04805435887
863	0.04800937596
864	0.04799088107
865	0.04795767513
866	0.04792601455
867	0.04790648847
868	0.0478374804
869	0.04779073187
870	0.04775430393
871	0.04773191354
872	0.04770566472
873	0.04769112215
874	0.0476505026
875	0.04759153719
876	0.04752722974
877	0.04751448167
878	0.04748872379
879	0.04745708735
880	0.04744648828
881	0.04741444084
882	0.04741443739
883	0.04734893228
884	0.04732074139
885	0.04731369075
886	0.04726187562
887	0.04722775254
888	0.04722513316
889	0.04720341582
890	0.04718410442
891	0.04715090186
892	0.0471382072
893	0.04709350253
894	0.04704593734
895	0.04702474559
896	0.04700533579
897	0.04699026097
898	0.0469755076
899	0.04694301677
900	0.04694297536
901	0.04691728923
902	0.04689059621
903	0.04687314081
904	0.04684192605
905	0.04681757914
906	0.04678959808
907	0.04677766952
908	0.04676804081
909	0.04674440808
910	0.0467073294
911	0.04667878999
912	0.04665377603
913	0.04662150881
914	0.04660760092
915	0.04659049686
916	0.04654936464
917	0.0465231055
918	0.04649612528
919	0.04645046792
920	0.0464127093
921	0.04638945692
922	0.04634932481
923	0.04631550462
924	0.04627666207
925	0.04623956525
926	0.04621450967
927	0.0461906629
928	0.04613168375
929	0.04609044394
930	0.04603572039
931	0.04601316773
932	0.04601316784
933	0.04601316784
934	0.04596752999
935	0.04593040167
936	0.04587841099
937	0.0458719229
938	0.0458422475
939	0.04581655868
940	0.0457734432
941	0.04574716073
942	0.0457060313
943	0.045684621
944	0.04566264546
945	0.04564281768
946	0.04562646293
947	0.04560066028
948	0.04558459561
949	0.04553548991
950	0.04549426639
951	0.04546876584
952	0.04544104351
953	0.04541658602
954	0.04540330724
955	0.04538798105
956	0.04536499695
957	0.04535030929
958	0.04531209238
959	0.04528704781
960	0.04523982545
961	0.04521677162
962	0.04519571676
963	0.04518445659
964	0.04516664426
965	0.04515612714
966	0.0451342506
967	0.04511315362
968	0.04510237439
969	0.04507566598
970	0.04505740288
971	0.04503562947
972	0.04500538781
973	0.04496343011
974	0.04494206722
975	0.04491309248
976	0.04487925911
977	0.04486902579
978	0.04483674055
979	0.04480363902
980	0.04479792062
981	0.0447726754
982	0.04475378433
983	0.04473456197
984	0.04471486001
985	0.04468759401
986	0.04462747674
987	0.0446141279
988	0.04457687579
989	0.04455500911
990	0.04453176907
991	0.04449227504
992	0.04448686736
993	0.04446293784
994	0.04445252603
995	0.04440582989
996	0.04437969504
997	0.04435653176
998	0.04432381919
999	0.04431532548
